user_id,user_verified_type,weibo_type,fans_type,repost_type,like_type,comment_type
1896456970,1,1,1,0,1,1
1989617012,1,1,1,0,1,1
2003290751,1,1,1,0,1,1
2052120021,1,1,1,0,1,1
2261390944,1,1,1,0,1,1
2268842982,1,1,1,0,1,1
2392909680,1,1,1,0,1,1
2516150701,1,1,1,0,1,1
2533574257,0,1,1,0,1,1
2553166167,1,1,1,0,1,1
2557155457,1,1,1,0,1,1
2697578042,1,1,1,0,1,1
6928813720,1,1,1,0,1,1
3360703570,1,1,0,2,1,1
6105864408,1,1,0,2,1,1
5964184998,1,1,1,2,1,1
1057775400,1,0,0,0,1,0
1065507653,1,0,0,0,1,0
1146777311,1,0,0,0,1,0
1275747621,0,0,0,0,1,0
1324343335,0,0,0,0,1,0
1359922744,1,0,0,0,1,0
1403147265,0,0,0,0,1,0
1566188461,0,0,0,0,1,0
1639150224,1,0,0,0,1,0
1641145823,0,0,0,0,1,0
1654081875,1,0,0,0,1,0
1659791311,0,0,0,0,1,0
1727572291,0,0,0,0,1,0
1753234175,0,0,0,0,1,0
1764220904,0,0,0,0,1,0
1777317934,0,0,0,0,1,0
1787043322,1,0,0,0,1,0
1840080763,0,0,0,0,1,0
1883240380,0,0,0,0,1,0
1886315393,0,0,0,0,1,0
1889750024,0,0,0,0,1,0
1907083277,0,0,0,0,1,0
1907500685,1,0,0,0,1,0
1908691000,1,0,0,0,1,0
1910370220,1,0,0,0,1,0
1912430493,1,0,0,0,1,0
1913079885,1,0,0,0,1,0
1919000695,1,0,0,0,1,0
1929953497,0,0,0,0,1,0
1960929313,0,0,0,0,1,0
1969078862,1,0,0,0,1,0
1969991021,1,0,0,0,1,0
1974177154,1,0,0,0,1,0
2013300081,0,0,0,0,1,0
2013431392,1,0,0,0,1,0
2026544132,1,0,0,0,1,0
2035413034,0,0,0,0,1,0
2035996144,1,0,0,0,1,0
2053494515,1,0,0,0,1,0
2053886377,1,0,0,0,1,0
2058212830,1,0,0,0,1,0
2072564685,1,0,0,0,1,0
2077210661,1,0,0,0,1,0
2088587975,1,0,0,0,1,0
2097297631,0,0,0,0,1,0
2109973885,1,0,0,0,1,0
2120131305,1,0,0,0,1,0
2121889774,0,0,0,0,1,0
2130830185,1,0,0,0,1,0
2140348227,1,0,0,0,1,0
2141922513,1,0,0,0,1,0
2203659104,1,0,0,0,1,0
2241183901,1,0,0,0,1,0
2245584801,1,0,0,0,1,0
2275003937,1,0,0,0,1,0
2280723025,0,0,0,0,1,0
2294153390,1,0,0,0,1,0
2294220693,0,0,0,0,1,0
2308904533,1,0,0,0,1,0
2308960223,1,0,0,0,1,0
2316271560,0,0,0,0,1,0
2355441347,0,0,0,0,1,0
2365535720,1,0,0,0,1,0
2376298682,1,0,0,0,1,0
2401556305,1,0,0,0,1,0
2402835272,1,0,0,0,1,0
2408098087,1,0,0,0,1,0
2415608027,0,0,0,0,1,0
2433075012,1,0,0,0,1,0
2439823223,1,0,0,0,1,0
2462872400,1,0,0,0,1,0
2498359580,1,0,0,0,1,0
2530014313,1,0,0,0,1,0
2552266107,1,0,0,0,1,0
2574043673,0,0,0,0,1,0
2593685892,0,0,0,0,1,0
2604223091,1,0,0,0,1,0
2604363821,1,0,0,0,1,0
2604857111,1,0,0,0,1,0
2614434247,0,0,0,0,1,0
2631050210,0,0,0,0,1,0
2634418921,1,0,0,0,1,0
2650836463,1,0,0,0,1,0
2658713773,1,0,0,0,1,0
2662050853,1,0,0,0,1,0
2663581903,1,0,0,0,1,0
2690502103,1,0,0,0,1,0
2711977302,1,0,0,0,1,0
2734615505,1,0,0,0,1,0
2739425243,1,0,0,0,1,0
2758931405,1,0,0,0,1,0
2768329867,1,0,0,0,1,0
